Iteration,RMS noise level,Mean of Signal,SNR_dB,DNR_dB
1,0.9741492412674146,93.94765625,39.94941536050274,43.211872321001394
2,0.9864966661943073,98.5078125,40.22409267052637,43.34544760632329
3,0.9901739914551805,102.43828125,40.51254689458244,43.54949507448527
4,0.995525537299291,106.36171875,40.775246278788856,43.73278051510222
5,1.0092130277570652,110.18203125,40.9472754697864,43.78283500480222
