Iteration,RMS noise level,Mean of Signal,SNR_dB,DNR_dB
1,1.3134241085780725,3.694822225952521e-14,26.45039558066709,34.968402570725985
2,1.2093125581485902,4.263256414560601e-15,26.34815029922693,34.91174680270732
3,1.1133821758455182,1.7053025658242404e-14,26.428925158555003,35.07331456270494
4,1.008701605718802,1.9895196601282804e-14,26.67638562707988,35.5190918291001
5,0.9732857917052469,1.7053025658242404e-14,26.350669015045305,35.36118528243434
