Iteration1,Iteration2,Iteration3,Iteration4,Iteration5,Iteration6
92,97,101,105,109
95,100,104,108,112
93,98,102,106,110
95,100,104,108,112
93,97,102,106,109
94,99,104,108,112
96,101,105,109,113
94,98,103,107,110
96,100,104,109,112
93,98,102,106,110
96,101,105,109,113
95,100,104,108,112
94,99,103,108,111
94,99,103,107,111
95,99,104,108,111
95,100,104,108,111
93,98,102,106,110
95,99,103,108,111
95,100,104,109,112
95,100,104,108,112
94,99,103,107,111
96,100,104,109,112
93,98,102,106,109
96,101,105,109,113
93,97,102,106,109
95,99,103,107,111
95,100,104,108,111
95,100,104,108,112
92,97,101,106,109
95,100,105,109,113
94,99,103,107,111
95,100,104,108,112
95,99,103,107,111
94,99,103,107,111
96,101,105,109,113
94,98,102,106,110
95,100,103,107,111
96,101,105,109,113
93,98,102,106,110
94,98,102,107,110
94,99,103,107,111
96,101,105,109,113
94,99,103,107,111
95,100,104,108,111
95,99,103,107,111
93,97,102,106,109
95,100,104,108,111
93,98,102,106,110
95,99,104,107,111
94,99,103,107,110
94,99,103,107,111
94,99,103,107,111
94,98,102,106,110
94,98,102,106,110
95,100,104,108,112
95,99,104,108,111
94,98,103,106,110
94,99,103,107,110
94,98,102,106,110
94,98,102,106,110
94,99,103,107,110
94,99,103,107,110
94,99,103,107,111
94,99,103,107,111
95,100,104,108,112
92,97,101,105,108
95,100,103,107,111
95,99,103,108,111
94,99,103,107,111
95,99,103,108,111
94,99,103,107,110
93,98,102,106,110
95,100,104,108,111
95,100,104,108,112
95,100,103,108,111
95,100,103,108,111
95,100,104,108,112
95,100,104,108,112
94,98,102,106,110
95,99,103,107,111
96,100,104,108,111
96,101,105,109,112
95,100,104,108,112
96,100,104,108,112
96,100,104,108,112
95,99,103,107,111
97,102,106,110,113
97,101,105,109,113
96,101,105,109,113
96,101,105,109,112
98,102,106,110,114
97,102,106,110,113
98,102,106,111,114
97,101,105,109,113
97,102,106,110,113
98,102,106,111,114
97,102,106,110,114
97,102,106,110,114
97,101,105,109,113
98,102,107,111,114
99,104,108,112,115
101,105,109,113,117
100,104,108,112,115
99,104,108,112,116
101,105,109,113,117
100,104,109,113,116
100,104,108,113,116
102,106,110,114,118
103,107,111,115,119
100,105,109,113,117
102,107,111,115,119
102,107,111,115,118
103,107,111,115,119
103,108,112,116,120
105,110,114,118,122
105,109,113,117,121
104,109,113,117,121
105,109,113,118,121
107,111,115,119,123
106,110,114,118,122
107,112,116,120,123
106,111,115,119,123
108,112,116,120,124
108,113,117,121,125
109,113,117,121,125
109,114,117,122,125
111,116,119,123,127
111,115,119,123,127
111,115,119,123,127
112,116,120,124,128
112,116,121,125,129
114,118,122,126,130
113,117,121,125,129
115,119,123,127,131
117,121,125,129,133
115,119,123,127,131
117,121,125,129,133
119,123,127,131,134
117,121,125,130,133
117,122,126,130,134
119,123,127,131,135
120,125,129,133,137
122,126,130,134,138
120,125,129,133,137
123,127,131,135,139
123,128,132,136,140
122,126,130,134,138
