Iteration,RMS noise level,SNR_dB
1,1.1622985854483106,42.24429731948345
2,1.1798984626019648,43.16537863753393
3,1.1917777434789205,43.58713083440709
4,1.2107391507495748,43.743276443266346
5,1.2160189910088837,43.86372057662469
